0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:14:39 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:15:46 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:15:46 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:15:52 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:15:52 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:15:53 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:16:07 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:16:08 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:16:08 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:09 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:09 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:10 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:39 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:39 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:39 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:55 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:55 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:17:55 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:21 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:21 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:21 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:52 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:52 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:18:53 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:19:06 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:19:06 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:19:08 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:20:32 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:20:32 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:20:33 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:21:43 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:21:43 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:21:44 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:09 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:09 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:11 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:39 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:39 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:22:40 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:03 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:23:03 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 1007
